fullName,season,balls_bowled,conceded,wickets,MatchPlayed,4W_haul,5W_haul,dots,foursConceded,sixesConceded,wides,noballs,maidens,total_overs_bowled,economy,Bowling_strike_rate,average,Bowling_Quality,Bowling_Frequency,Bowling_Player_Impact,4W_factor,5W_factor,Bowling_Impact_Score
Aaron Finch,2010,7.000000000000001,5,0,1,0,0,3,0,0,0,0,0,1.1,4.55,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0
Aaron Finch,2011,12.0,13,0,1,0,0,5,1,0,1,0,0,2.0,6.5,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0
Aaron Finch,2013,24.0,49,1,3,0,0,5,3,4,0,0,0,4.0,12.25,24.0,49.0,0.34,8.0,2.72,0.0,0.0,2.72
Aavishkar Salvi,2009,102.0,134,4,5,0,0,43,10,6,4,0,0,17.0,7.88,25.5,33.5,0.5,20.4,10.2,0.0,0.0,10.2
Aavishkar Salvi,2011,48.0,66,3,2,0,0,18,8,1,2,0,0,8.0,8.25,16.0,22.0,0.76,24.0,18.24,0.0,0.0,18.24
Abdul Samad,2020,42.0,96,1,3,0,0,9,4,8,1,0,0,7.0,13.71,42.0,96.0,0.17,14.0,2.38,0.0,0.0,2.38
Abdul Samad,2021,6.0,9,1,1,0,0,1,1,0,0,0,0,1.0,9.0,6.0,9.0,1.85,6.0,11.1,0.0,0.0,11.1
Abdul Samad,2022,6.0,8,0,1,0,0,1,1,0,0,0,0,1.0,8.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0
Abdur Razzak,2008,12.0,29,0,1,0,0,5,3,1,1,1,0,2.0,14.5,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0
Abhimanyu Mithun,2009,24.0,42,0,1,0,0,7,3,2,3,0,0,4.0,10.5,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0
Abhimanyu Mithun,2010,18.0,39,1,1,0,0,2,2,3,1,1,0,3.0,13.0,18.0,39.0,0.43,18.0,7.74,0.0,0.0,7.74
Abhimanyu Mithun,2011,204.0,321,5,12,0,0,71,26,15,9,8,0,34.0,9.44,40.8,64.2,0.26,17.0,4.42,0.0,0.0,4.42
Abhimanyu Mithun,2012,18.0,33,0,1,0,0,6,5,1,1,0,0,3.0,11.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0
Abhimanyu Mithun,2013,24.0,37,1,1,0,0,9,6,0,1,0,0,4.0,9.25,24.0,37.0,0.45,24.0,10.8,0.0,0.0,10.8
Abhishek Jhunjhunwala,2010,37.0,69,0,5,0,0,12,5,4,2,0,0,6.1,11.31,0.0,0.0,0.0,7.4,0.0,0.0,0.0,0.0
Abhishek Jhunjhunwala,2011,12.0,22,0,2,0,0,1,1,1,1,0,0,2.0,11.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0
Abhishek Jhunjhunwala,2012,36.0,38,1,3,0,0,15,4,0,0,0,0,6.0,6.33,36.0,38.0,0.44,12.0,5.28,0.0,0.0,5.28
Abhishek Nayar,2008,42.0,68,1,5,0,0,15,3,6,1,0,0,7.0,9.71,42.0,68.0,0.25,8.4,2.1,0.0,0.0,2.1
Abhishek Nayar,2009,72.0,84,4,4,0,0,27,7,1,5,0,0,12.0,7.0,18.0,21.0,0.79,18.0,14.22,0.0,0.0,14.22
Abhishek Nayar,2011,61.0,95,2,6,0,0,15,8,4,2,0,0,10.1,9.41,30.5,47.5,0.35,10.17,3.56,0.0,0.0,3.56
Abhishek Nayar,2012,6.0,16,0,1,0,0,0,0,2,0,0,0,1.0,16.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0
Abhishek Nayar,2013,48.0,59,2,3,0,0,13,4,0,2,0,0,8.0,7.38,24.0,29.5,0.56,16.0,8.96,0.0,0.0,8.96
Abhishek Raut,2009,24.0,36,0,4,0,0,5,3,1,0,0,0,4.0,9.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0
Abhishek Raut,2011,6.0,8,0,1,0,0,2,1,0,0,0,0,1.0,8.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0
Abhishek Sharma,2019,12.0,21,1,2,0,0,1,1,1,0,1,0,2.0,10.5,12.0,21.0,0.79,6.0,4.74,0.0,0.0,4.74
Abhishek Sharma,2020,60.0,91,2,6,0,0,11,3,5,1,0,0,10.0,9.1,30.0,45.5,0.37,10.0,3.7,0.0,0.0,3.7
Abhishek Sharma,2021,60.0,64,4,6,0,0,25,5,1,3,0,0,10.0,6.4,15.0,16.0,1.04,10.0,10.4,0.0,0.0,10.4
Abhishek Sharma,2022,24.0,38,0,3,0,0,4,2,2,0,0,0,4.0,9.5,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0
Abrar Kazi,2011,12.0,21,0,1,0,0,2,1,1,1,0,0,2.0,10.5,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0
Abu Nechim,2010,12.0,26,0,1,0,0,3,3,0,2,0,0,2.0,13.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0
Abu Nechim,2011,120.0,169,5,6,0,0,46,16,6,7,1,1,20.0,8.45,24.0,33.8,0.49,20.0,9.8,0.0,0.0,9.8
Abu Nechim,2012,12.0,17,0,1,0,0,5,1,1,1,0,0,2.0,8.5,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0
Abu Nechim,2013,42.0,45,3,2,0,0,21,5,1,0,0,0,7.0,6.43,14.0,15.0,1.11,21.0,23.31,0.0,0.0,23.31
Abu Nechim,2014,86.0,113,3,4,0,0,29,10,3,1,2,0,14.2,7.96,28.67,37.67,0.44,21.5,9.46,0.0,0.0,9.46
Abu Nechim,2015,72.0,128,1,3,0,0,27,8,9,2,2,0,12.0,10.67,72.0,128.0,0.13,24.0,3.12,0.0,0.0,3.12
Adam Gilchrist,2013,1.0,0,1,1,0,0,1,0,0,0,0,0,0.1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
