fullName,season,rel_batting_impact_score,rel_bowling_impact_score
AB de Villiers,2009,11.76,0.0
AB de Villiers,2010,42.89,0.0
AB de Villiers,2011,23.32,0.0
AB de Villiers,2012,42.38,0.0
AB de Villiers,2013,61.57,0.0
AB de Villiers,2014,81.12,0.0
AB de Villiers,2015,104.48,0.0
AB de Villiers,2016,133.57,0.0
AB de Villiers,2017,168.93,0.0
AB de Villiers,2018,151.68,0.0
AB de Villiers,2019,187.18,0.0
AB de Villiers,2020,179.06,0.0
AB de Villiers,2021,177.83,0.0
Aakash Chopra,2009,5.82,0.0
Aaron Finch,2010,15.83,0.25
Aaron Finch,2011,31.79,0.0
Aaron Finch,2012,21.12,0.0
Aaron Finch,2013,42.8,0.0
Aaron Finch,2014,68.0,2.72
Aaron Finch,2015,61.21,0.0
Aaron Finch,2016,48.08,0.0
Aaron Finch,2017,74.74,0.0
Aaron Finch,2018,64.56,0.0
Aaron Finch,2020,63.91,0.25
Aaron Finch,2022,79.74,0.5
Aavishkar Salvi,2009,0.0,14.22
Aavishkar Salvi,2011,0.0,28.44
Abdul Samad,2020,6.7,4.49
Abdul Samad,2021,17.94,2.38
Abdul Samad,2022,14.27,13.48
Abhijeet Tomar,2022,2.72,0.0
Abhimanyu Mithun,2009,1.8,4.59
Abhimanyu Mithun,2010,0.0,0.0
Abhimanyu Mithun,2011,3.24,7.74
Abhimanyu Mithun,2012,7.74,4.42
Abhimanyu Mithun,2013,3.24,0.0
Abhinav Manohar,2022,10.82,0.0
Abhinav Mukund,2013,7.14,0.0
Abhishek Jhunjhunwala,2010,7.56,1.76
Abhishek Jhunjhunwala,2011,21.17,0.0
Abhishek Jhunjhunwala,2012,10.98,0.0
Abhishek Nayar,2009,15.04,2.1
Abhishek Nayar,2010,12.85,16.32
Abhishek Nayar,2011,27.98,2.1
Abhishek Nayar,2012,17.46,5.66
Abhishek Nayar,2013,25.67,2.1
Abhishek Nayar,2014,22.57,11.06
Abhishek Raut,2009,9.27,0.0
Abhishek Raut,2010,8.01,0.0
Abhishek Raut,2011,16.65,0.0
Abhishek Sharma,2018,11.93,3.77
Abhishek Sharma,2019,29.42,0.0
Abhishek Sharma,2020,13.88,4.74
Abhishek Sharma,2021,20.92,3.7
Abhishek Sharma,2022,30.77,14.1
Abrar Kazi,2011,0.0,0.0
Abu Nechim,2010,3.09,7.61
Abu Nechim,2011,2.52,0.0
Abu Nechim,2012,13.83,9.8
Abu Nechim,2013,2.52,0.0
Abu Nechim,2014,2.52,23.31
Abu Nechim,2015,5.02,9.46
Adam Gilchrist,2009,24.3,0.0
Adam Gilchrist,2010,23.36,0.0
Adam Gilchrist,2011,12.6,0.0
Adam Gilchrist,2012,33.25,0.0
Adam Gilchrist,2013,32.42,0.0
Adam Milne,2016,1.3,6.28
Adam Milne,2017,0.0,15.64
Adam Milne,2021,1.3,12.56
Adam Milne,2022,4.93,20.54
Adam Voges,2010,21.86,0.0
Adam Zampa,2016,1.12,19.1
Adam Zampa,2017,0.0,54.6
Adam Zampa,2020,1.12,38.2
Adil Rashid,2021,0.0,0.0
Aditya Dole,2010,11.77,16.28
Aditya Tare,2010,7.68,0.0
Aditya Tare,2013,15.36,0.0
Aditya Tare,2014,33.34,0.0
Aditya Tare,2015,23.38,0.0
Aditya Tare,2016,20.12,0.0
Aditya Tare,2017,18.06,0.0
Adrian Barath,2010,10.64,0.0
Aiden Blizzard,2011,7.18,0.0
Aiden Blizzard,2012,21.54,0.0
Aiden Markram,2021,22.77,1.17
Aiden Markram,2022,18.84,0.0
Ajantha Mendis,2009,0.0,16.56
Ajantha Mendis,2010,0.0,10.32
Ajantha Mendis,2013,0.47,22.68
Ajinkya Rahane,2009,1.36,0.0
Ajinkya Rahane,2011,19.8,1.43
Ajinkya Rahane,2012,13.82,0.0
Ajinkya Rahane,2013,42.5,0.0
Ajinkya Rahane,2014,36.21,0.0
Ajinkya Rahane,2015,35.64,0.0
Ajinkya Rahane,2016,71.22,0.0
Ajinkya Rahane,2017,64.33,0.0
Ajinkya Rahane,2018,53.81,0.0
Ajinkya Rahane,2019,74.38,0.0
Ajinkya Rahane,2020,97.83,0.0
Ajinkya Rahane,2021,84.42,0.0
Ajinkya Rahane,2022,79.82,0.0
Ajit  Chandila,2012,1.26,17.46
Ajit  Chandila,2013,0.0,40.38
Ajit Agarkar,2009,6.14,11.09
Ajit Agarkar,2010,16.74,5.92
Ajit Agarkar,2011,14.19,12.14
Ajit Agarkar,2012,8.45,25.56
Ajit Agarkar,2013,6.14,20.1
Akash Deep,2022,0.0,9.04
Akash Singh,2021,0.0,0.0
Akila Dananjaya,2018,2.5,0.0
Akshath Reddy,2012,13.77,0.0
Akshath Reddy,2013,32.06,0.0
Akshdeep Nath,2016,4.86,0.0
Akshdeep Nath,2017,4.5,0.0
Akshdeep Nath,2018,0.0,0.0
Akshdeep Nath,2019,6.37,0.0
Albie Morkel,2009,18.58,16.36
Albie Morkel,2010,7.14,13.2
Albie Morkel,2011,20.24,9.19
Albie Morkel,2012,15.55,21.73
Albie Morkel,2013,13.26,20.28
Albie Morkel,2014,23.99,35.3
Albie Morkel,2015,19.66,28.76
Albie Morkel,2016,49.13,28.56
Alex Carey,2020,7.64,0.0
Alex Hales,2018,18.49,0.0
Alfonso Thomas,2011,3.35,11.23
Alfonso Thomas,2012,0.32,24.04
Ali Murtaza,2010,1.6,8.53
Ali Murtaza,2011,0.0,21.73
Ali Murtaza,2012,1.25,18.85
Ali Murtaza,2013,3.15,8.53
Alzarri Joseph,2019,5.24,14.02
Alzarri Joseph,2022,10.48,28.04
Aman Hakim Khan,2022,3.21,0.0
Ambati Rayudu,2010,18.48,0.0
Ambati Rayudu,2011,37.46,0.0
Ambati Rayudu,2012,56.71,0.0
Ambati Rayudu,2013,55.27,0.0
Ambati Rayudu,2014,48.88,0.0
Ambati Rayudu,2015,68.35,0.0
Ambati Rayudu,2016,64.19,0.0
Ambati Rayudu,2017,85.97,0.0
Ambati Rayudu,2018,77.29,0.0
Ambati Rayudu,2019,107.43,0.0
Ambati Rayudu,2020,90.3,0.0
Ambati Rayudu,2021,116.97,0.0
Ambati Rayudu,2022,104.82,0.0
Amit Mishra,2009,8.82,31.12
Amit Mishra,2010,3.48,18.1
Amit Mishra,2011,7.42,17.71
Amit Mishra,2012,12.7,38.53
Amit Mishra,2013,9.54,29.19
Amit Mishra,2014,17.58,49.24
Amit Mishra,2015,10.87,36.84
Amit Mishra,2016,10.86,46.48
Amit Mishra,2017,12.19,59.33
Amit Mishra,2018,19.99,54.47
Amit Mishra,2019,12.81,71.34
Amit Mishra,2020,16.47,69.31
Amit Mishra,2021,12.81,68.27
